1650;0,000;0,000;0,000;0,000;0,000;0,000
1753;0,006;0,000;0,000;0,000;0,000;0,000
1905;0,027;0,008;0,002;0,000;0,000;0,000
1972;0,035;0,023;0,017;0,003;0,000;0,000
2342;0,044;0,039;0,025;0,011;0,000;0,000
2520;0,051;0,046;0,033;0,019;0,005;0,000
2767;0,066;0,061;0,048;0,034;0,028;0,014
2971;0,073;0,068;0,055;0,042;0,036;0,022
3186;0,084;0,079;0,066;0,052;0,046;0,034
3356;0,092;0,090;0,079;0,069;0,066;0,063
3513;0,109;0,108;0,096;0,085;0,082;0,078
3616;0,117;0,116;0,113;0,093;0,089;0,086
3826;0,125;0,124;0,121;0,102;0,097;0,094
3933;0,133;0,132;0,129;0,110;0,107;0,102
4251;0,141;0,140;0,137;0,118;0,115;0,111
4456;0,148;0,148;0,145;0,126;0,123;0,119
4891;0,156;0,156;0,152;0,134;0,130;0,127
5316;0,164;0,163;0,160;0,141;0,138;0,135
5526;0,172;0,171;0,168;0,157;0,146;0,143
5961;0,180;0,179;0,176;0,165;0,154;0,151
6274;0,188;0,187;0,184;0,173;0,162;0,159
6858;0,201;0,201;0,200;0,188;0,179;0,177
7385;0,209;0,209;0,208;0,198;0,195;0,185
8224;0,217;0,217;0,216;0,206;0,205;0,193
9178;0,225;0,225;0,224;0,214;0,213;0,203
10232;0,237;0,237;0,236;0,226;0,225;0,215
11287;0,245;0,245;0,244;0,234;0,233;0,223
13008;0,257;0,257;0,256;0,246;0,245;0,235
13008;0,265;0,265;0,264;0,254;0,253;0,243
